plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,occupants,hot_water_fixtures
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0.4,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,1,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,1,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,1,1,0
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,1,1,0
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,1,1,0.165
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,1,1,0.254
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,1,1,0.254
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0.3,1,0.148
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,1,0.331
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,0.667,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,0.667,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,0.667,0.0827
0.719,0.074,0.14,0.316,0.316,0,0,0,0,0,0,0.667,0
0.719,0.074,0.14,0.316,0.316,0,0,0,0,0,0,0.667,0
0.719,0.074,0.14,0.316,0.316,0,0,0,0,0,0,0.667,0.0827
0.719,0.074,0.14,0.316,0.316,0,0,0,0,0,0,0.667,0
0.719,0.074,0.14,0.316,0.316,0,0,0,0,0,0,0.667,0
0.719,0.074,0.14,0.316,0.316,0,0,0,0,0,0,0.667,0
0.647,0.0527,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0604,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
